"","Site_code","Date","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM"
"1486","DC 4",2008-10-01,2009,53.9480019,23.6159992,8.0880003,15.8510008,4.6690001,23.257
"1487","DC 4",2008-11-01,2009,145.371994,16.6170006,5.401,11.0090008,1.5650001,10.7810001
"1488","DC 4",2008-12-01,2009,197.8009949,9.0059996,-0.349,4.3280001,0.793,5.8660002
"1489","DC 4",2009-01-01,2009,87.4589996,14.0080004,2.1530001,8.0799999,2.79,11.7950001
"1490","DC 4",2009-02-01,2009,323.6059875,10.9750004,1.33,6.1520004,1.415,7.9910002
"1491","DC 4",2009-03-01,2009,184.9029999,13.9280005,1.891,7.9090004,1.819,10.783
"1492","DC 4",2009-04-01,2009,55.0600014,17.5189991,4.0320001,10.7750006,3.2449999,15.8909998
"1493","DC 4",2009-05-01,2009,142.3829956,24.2779999,10.4320002,17.3550014,3.9590001,22.1149998
"1494","DC 4",2009-06-01,2009,17.4109993,25.191,11.6890001,18.4400005,3.3989999,22.5489998
"1495","DC 4",2009-07-01,2009,0,32.3540001,16.3770008,24.3650017,9.3950005,39.4529991
"1496","DC 4",2009-08-01,2009,0,30.7460003,15.0950003,22.920002,7.7880001,35.4519997
"1497","DC 4",2009-09-01,2009,3.306,29.9950008,14.1470003,22.0710011,7.8990002,35.0789986
"1498","DC 4",2009-10-01,2010,91.4440002,19.4589996,6.8160005,13.137001,2.2720001,14.5880003
"1499","DC 4",2009-11-01,2010,57.4360008,15.4289999,3.7170002,9.5730009,1.277,10.9020004
"1500","DC 4",2009-12-01,2010,202.2949982,9.7290001,0.3,5.0140004,0.658,5.9000001
"1501","DC 4",2010-01-01,2010,294.1159973,10.9119997,2.651,6.7810001,0.421,5.2410002
"1502","DC 4",2010-02-01,2010,176.3280029,11.7060003,2.6110001,7.1580005,0.418,6.8470001
"1503","DC 4",2010-03-01,2010,144.0019989,14.0550003,2.3710001,8.2130003,1.054,10.9399996
"1504","DC 4",2010-04-01,2010,253.3769989,13.5509996,2.9310002,8.2400007,0.717,8.8389997
"1505","DC 4",2010-05-01,2010,94.9779968,17.6959991,5.0370002,11.3660002,1.52,13.0200005
"1506","DC 4",2010-06-01,2010,3.4189999,25.6800003,12.0050001,18.842001,2.9679999,22.118
"1507","DC 4",2010-07-01,2010,0,31.2450008,15.4680004,23.3560009,5.6830001,33.3499985
"1508","DC 4",2010-08-01,2010,1.821,29.3640003,13.8470011,21.6050014,6.8410001,32.6030006
"1509","DC 4",2010-09-01,2010,1.447,28.0830002,12.1900005,20.1360016,5.9260001,30.243
"1510","DC 4",2010-10-01,2011,210.4109955,21.6720009,9.5320005,15.6020012,2.6359999,17.8670006
"1511","DC 4",2010-11-01,2011,255.8939972,13.7340002,3.0630002,8.3980007,1.081,9.46
"1512","DC 4",2010-12-01,2011,496.5809937,10.1630001,3.098,6.6300001,0.309,4.1939998
"1513","DC 4",2011-01-01,2011,74.7460022,12.665,1.531,7.0970001,1.008,8.7180004
"1514","DC 4",2011-02-01,2011,195.5269928,10.9980001,0.138,5.5680003,1.475,8.6800003
"1515","DC 4",2011-03-01,2011,562.6149902,10.2609997,2.0350001,6.1470003,0.402,5.698
"1516","DC 4",2011-04-01,2011,69.4540024,15.6070004,3.8380003,9.7220001,1.169,10.7390003
"1517","DC 4",2011-05-01,2011,93.0579987,18.0580006,5.7490001,11.9030008,2.063,14.1999998
"1518","DC 4",2011-06-01,2011,65.1480026,23.4009991,10.7740002,17.0869999,2.964,18.8589993
"1519","DC 4",2011-07-01,2011,0,29.0209999,14.3100004,21.6650009,4.2670002,27.875
"1520","DC 4",2011-08-01,2011,0,30.6509991,14.9840012,22.8170013,6.7389998,33.6469994
"1521","DC 4",2011-09-01,2011,1.743,30.1079998,14.5380011,22.3230019,6.5100002,32.9970016
"1522","DC 4",2011-10-01,2012,111.637001,21.3700008,8.3780003,14.8740005,1.824,15.5080004
"1523","DC 4",2011-11-01,2012,63.2449989,13.7810001,3.9040003,8.842,1.3279999,9.2720003
"1524","DC 4",2011-12-01,2012,4.928,13.1190004,1.725,7.4220004,2.5569999,10.9180002
"1525","DC 4",2012-01-01,2012,202.6999969,13.8859997,2.7490001,8.3170004,2.2019999,11.0459995
"1526","DC 4",2012-02-01,2012,80.6780014,13.4399996,1.9060001,7.6720004,1.355,9.9709997
"1527","DC 4",2012-03-01,2012,472.1719971,11.6029997,2.5400002,7.0710001,0.812,6.8829999
"1528","DC 4",2012-04-01,2012,234.2819977,16.6790009,5.5900002,11.1340008,1.744,11.8999996
"1529","DC 4",2012-05-01,2012,11.5607996,23.3299999,8.9630003,16.1459999,3.6229999,21.6560001
"1530","DC 4",2012-06-01,2012,41.5649986,26.1620007,12.0170002,19.0890007,5.5409999,26.4570007
"1531","DC 4",2012-07-01,2012,0.974,30.375,14.4160004,22.3950005,7.8660002,34.3279991
"1532","DC 4",2012-08-01,2012,0.092,33.2369995,16.3290005,24.7820015,9.6569996,42.0369987
"1533","DC 4",2012-09-01,2012,0,30.2749996,14.2410011,22.2580013,7.8649998,33.7830009
"1534","DC 4",2012-10-01,2013,74.1520004,22.1959991,8.9320002,15.5630007,3.1400001,19.3110008
"1535","DC 4",2012-11-01,2013,315.3330078,15.7309999,5.3990002,10.5650005,0.935,9.717
"1536","DC 4",2012-12-01,2013,470.3864746,9.5609999,2.0090001,5.7840004,0.498,4.9289999
"1537","DC 4",2013-01-01,2013,39.1739998,12.1709995,-0.342,5.9140005,0.818,8.7539997
"1538","DC 4",2013-02-01,2013,22.7099991,13.6999998,1.238,7.4680004,1.734,10.6160002
"1539","DC 4",2013-03-01,2013,89.3130035,17.0680008,4.9710002,11.0190001,1.696,12.533
"1540","DC 4",2013-04-01,2013,45.7869987,19.8220005,7.2710004,13.5460005,3.0699999,16.4220009
"1541","DC 4",2013-05-01,2013,27.4720001,22.6019993,10.1120005,16.3560009,3.8670001,19.8050003
"1542","DC 4",2013-06-01,2013,49.0390015,27.684,13.229001,20.4560013,4.3060002,27.3069992
"1543","DC 4",2013-07-01,2013,0,32.5859985,16.5130005,24.5490017,11.4289999,39.2319984
"1544","DC 4",2013-08-01,2013,1.4170001,29.8619995,14.2670012,22.0640011,7.0830002,33.2779999
"1545","DC 4",2013-09-01,2013,52.9319992,25.7259998,12.1280003,18.927,5.1209998,24.6259995
"1546","DC 4",2013-10-01,2014,13.9239998,21.8880005,6.9590001,14.4230003,3.944,20.6790009
"1547","DC 4",2013-11-01,2014,42.6389999,17.4680004,5.6720004,11.5700006,3.411,14.4890003
"1548","DC 4",2013-12-01,2014,25.0970001,13.4849997,0.379,6.9310002,2.892,11.6479998
"1549","DC 4",2014-01-01,2014,41.5390015,17.5470009,5.2770004,11.4120007,4.8000002,15.6709995
"1550","DC 4",2014-02-01,2014,366.5429993,13.0749998,3.9140003,8.4940004,0.989,8.1059999
"1551","DC 4",2014-03-01,2014,251.3690033,16.1620007,5.6570001,10.9090004,2.1440001,11.8450003
"1552","DC 4",2014-04-01,2014,78.6429977,18.868,6.6270003,12.7470007,2.4579999,15.1940002
"1553","DC 4",2014-05-01,2014,18.9029999,23.6830006,10.342001,17.012001,4.7909999,22.8099995
"1554","DC 4",2014-06-01,2014,0,28.3689995,13.894001,21.1310005,7.9349999,31.6089993
"1555","DC 4",2014-07-01,2014,0,32.4160004,18.3040009,25.3600006,10.0270004,38.4640007
"1556","DC 4",2014-08-01,2014,2.7179999,30.1490002,17.0100002,23.5790005,8.4379997,32.8730011
"1557","DC 4",2014-09-01,2014,35.9220009,28.2539997,13.717001,20.9850006,6.6469998,29.9720001
"1558","DC 4",2014-10-01,2015,44.8009987,23.5559998,10.6630001,17.1090012,4.8249998,21.9370003
"1559","DC 4",2014-11-01,2015,136.904007,15.9870005,5.6570001,10.8220005,1.6720001,10.7530003
"1560","DC 4",2014-12-01,2015,397.8240051,10.9390001,4.3740001,7.6560001,0.302,4.6370001
"1561","DC 4",2015-01-01,2015,1.572,15.8889999,4.4020004,10.1450005,2.0409999,11.8310003
"1562","DC 4",2015-02-01,2015,158.4929962,17.5680008,5.7270002,11.6470003,1.876,12.6520004
"1563","DC 4",2015-03-01,2015,26.9050007,19.5410004,5.8900003,12.7150002,1.857,14.842
"1564","DC 4",2015-04-01,2015,79.0930023,18.8290005,5.9950004,12.4120007,2.3900001,15.1289997
"1565","DC 4",2015-05-01,2015,6.6230001,21.5610008,8.809,15.1850004,2.652,17.4500008
"1566","DC 4",2015-06-01,2015,7.2459998,30.0209999,14.6520004,22.3360004,8.6049995,33.8380013
"1567","DC 4",2015-07-01,2015,1.298,30.5380001,17.25,23.894001,8.6079998,33.5960007
"1568","DC 4",2015-08-01,2015,0,30.9020004,16.2080002,23.5550003,9.0860004,36.1839981
"1569","DC 4",2015-09-01,2015,3.072,28.7290001,14.5390005,21.6340008,9.1759996,33.4580002
"1570","DC 4",2015-10-01,2016,24.3579998,24.2469997,11.8550005,18.0510006,4.7329998,22.2040005
"1571","DC 4",2015-11-01,2016,127.8809967,13.5059996,2.4200001,7.9620004,1.34,9.382
"1572","DC 4",2015-12-01,2016,317.7799988,8.7639999,0.614,4.6880002,0.238,4.4260001
"1573","DC 4",2016-01-01,2016,397.6849976,10.6309996,2.618,6.6240005,0.298,5.053
"1574","DC 4",2016-02-01,2016,50.1170006,17.4249992,3.1420002,10.2830009,1.476,13.7790003
"1575","DC 4",2016-03-01,2016,431.4590149,14.8369999,3.8150003,9.3260002,0.495,8.8889999
"1576","DC 4",2016-04-01,2016,60.1980019,19.1790009,7.3700004,13.2740002,2.29,14.1719999
"1577","DC 4",2016-05-01,2016,42.5209999,21.7290001,9.5830002,15.6560011,2.802,17.4459991
"1578","DC 4",2016-06-01,2016,1.697,28.7320004,14.3900003,21.5610008,7.3410001,31.8010006
"1579","DC 4",2016-07-01,2016,0,31.5529995,14.9910011,23.2720013,10.9680004,38.8540001
"1580","DC 4",2016-08-01,2016,0,31.1989994,14.9250011,23.0620003,10.8590002,37.3790016
"1581","DC 4",2016-09-01,2016,0.056,28.2059994,12.2040005,20.2040005,6.5469999,31.0680008
"1582","DC 4",2016-10-01,2017,281.302002,19.4370003,8.0790005,13.7580004,1.7690001,14.4060001
"1583","DC 4",2016-11-01,2017,170.4539948,16.0690002,4.75,10.4090004,0.959,10.4350004
"1584","DC 4",2016-12-01,2017,310.6180115,10.8129997,1.0880001,5.9500003,0.594,6.151
"1585","DC 4",2017-01-01,2017,658.6820068,9.0760002,1.281,5.1780005,0.475,4.5089998
"1586","DC 4",2017-02-01,2017,608.4329834,11.3330002,3.7460003,7.5390005,0.625,5.4590001
"1587","DC 4",2017-03-01,2017,171.3630066,15.6379995,4.9620004,10.2990007,1.275,10.4770002
"1588","DC 4",2017-04-01,2017,229.9989929,15.4750004,5.2500005,10.3620005,1.312,10.2530003
"1589","DC 4",2017-05-01,2017,8.4230003,23.6089993,9.4390001,16.5230007,2.8989999,20.125
"1590","DC 4",2017-06-01,2017,15.7600002,28.4370003,13.5720005,21.0040016,4.2989998,28.6650009
"1591","DC 4",2017-07-01,2017,0,33.1580009,16.7140007,24.9360008,7.9180002,39.9179993
"1592","DC 4",2017-08-01,2017,0.668,32.4580002,17.5760002,25.0170021,7.7620001,35.1619987
"1593","DC 4",2017-09-01,2017,3.812,27.8139992,13.604001,20.7090015,5.862,29.0550003
"1594","DC 4",2017-10-01,2018,23.2910004,24.0149994,7.8810005,15.9470005,4.2160001,23.7450008
"1595","DC 4",2017-11-01,2018,342.6220093,14.5699997,5.5870004,10.0780001,0.423,7.1960001
"1596","DC 4",2017-12-01,2018,24.2579994,14.9280005,3.0490003,8.9880009,2.4300001,12.1960001
"1597","DC 4",2018-01-01,2018,244.1360016,13.4849997,4.4330001,8.9580002,1.141,7.914
"1598","DC 4",2018-02-01,2018,26.7469997,14.566,2.2460001,8.4060001,2.5969999,12.5190001
"1599","DC 4",2018-03-01,2018,415.7529907,12.5170002,2.7690001,7.6430001,0.954,8.0860004
"1600","DC 4",2018-04-01,2018,146.0070038,17.934,6.0440001,11.9890003,1.934,13.3330002
"1601","DC 4",2018-05-01,2018,13.9580002,22.7169991,9.2880001,16.0020008,1.679,17.1490002
"1602","DC 4",2018-06-01,2018,0,28.4239998,12.5530005,20.4880009,4.7800002,29.3859997
"1603","DC 4",2018-07-01,2018,0,33.5740013,17.8270016,25.7000008,8.1750002,39.5509987
"1604","DC 4",2018-08-01,2018,0,31.5760002,15.4140005,23.4950008,8.335,37.2830009
"1605","DC 4",2018-09-01,2018,0,28.8299999,12.5290003,20.6790009,7.3309999,32.5680008
"1606","DC 4",2018-10-01,2019,23.4729996,23.0860004,9.4440002,16.2650013,4.6030002,21.1580009
"1607","DC 4",2018-11-01,2019,212.4579926,17.9799995,5.3600001,11.6690006,3.256,15.2559996
"1608","DC 4",2018-12-01,2019,119.9700012,11.2840004,2.398,6.8410006,0.577,6.7210002
"1609","DC 4",2019-01-01,2019,345.9070129,12.1309996,2.7,7.4150004,0.882,7.2810001
"1610","DC 4",2019-02-01,2019,576.132019,7.0580001,0.087,3.5720003,0.346,3.6259999
"1611","DC 4",2019-03-01,2019,216.2749939,12.2250004,3.2500002,7.7370005,0.922,7.2280002
"1612","DC 4",2019-04-01,2019,80.0879974,19.2240009,7.2909999,13.2574997,2.1500001,14.2729998
"1613","DC 4",2019-05-01,2019,150.1779938,18.7730007,7.6350002,13.2039995,1.687,12.7910004
"1614","DC 4",2019-06-01,2019,12.3859997,28.5160007,13.6370001,21.0764999,4.5999999,27.2600002
"1615","DC 4",2019-07-01,2019,0,30.5939999,15.2329998,22.9133987,5.2849998,32.237999
"1616","DC 4",2019-08-01,2019,0,31.3929996,16.6819992,24.0373993,7.8270001,34.9189987
"1617","DC 4",2019-09-01,2019,66.5879974,26.2719994,11.8210001,19.0464001,4.0960002,25.0219994
"1618","DC 4",2019-10-01,2020,1.299,22.3390007,6.401,14.3699999,3.4679999,22.0909996
"1619","DC 4",2019-11-01,2020,40.1839981,19.0499992,5.2379999,12.1438999,3.007,17.0370007
"1620","DC 4",2019-12-01,2020,282.4219971,11.3030005,2.914,7.1085,0.508,5.9590001
"1621","DC 4",2020-01-01,2020,123.4639969,11.0200005,2.576,6.7980003,0.493,6.0939999
"1622","DC 4",2020-02-01,2020,0,16.9489994,2.2609999,9.6048994,2.849,14.1529999
"1623","DC 4",2020-03-01,2020,184.9620056,12.559,2.737,7.6479998,1.01,8.2390003
"1624","DC 4",2020-04-01,2020,119.9260025,17.8120003,6.658,12.2349997,1.962,12.7639999
"1625","DC 4",2020-05-01,2020,108.1969986,22.5669994,10.0120001,16.2894001,3.75,20.0410004
"1626","DC 4",2020-06-01,2020,1.362,27.8500004,12.7580004,20.3039989,4.434,27.5049992
"1627","DC 4",2020-07-01,2020,0,32.0499992,15.96,24.0049,6.697,36.9020004
"1628","DC 4",2020-08-01,2020,0.809,32.9480019,17.2560005,25.1019993,8.1739998,39.1419983
"1629","DC 4",2020-09-01,2020,0,30.6949997,14.8800001,22.7873993,9.5760002,36.0649986
"1630","DC 4",2020-10-01,2021,0,27.4589996,12.29,19.8743992,9.3319998,31.4650002
"1631","DC 4",2020-11-01,2021,104.6669998,16.4850006,4.204,10.3444996,2.835,14.3430004
"1632","DC 4",2020-12-01,2021,104.6569977,13.7399998,2.77,8.2549,1.854,10.6079998
"1633","DC 4",2021-01-01,2021,168.5379028,12.2262001,2.7551,7.4905996,1.4828,8.4734001
"1634","DC 4",2021-02-01,2021,92.8793945,13.5738993,2.256,7.9148998,1.2484,9.8660002
"1635","DC 4",2021-03-01,2021,104.8116989,13.8924999,2.2168999,8.0545998,1.4958,10.8565998
"1636","DC 4",2021-04-01,2021,8.0999002,21.0179996,5.1835999,13.1006994,2.8720999,19.115799
"1637","DC 4",2021-05-01,2021,1.4368,24.7043991,9.9469995,17.3255997,3.9650998,24.7460995
"1638","DC 4",2021-06-01,2021,0.7835,31.3394985,15.7252998,23.532299,7.0179,38.6214981
"1639","DC 4",2021-07-01,2021,0,34.4295006,18.4765987,26.4529991,11.5977993,46.6882973
"1640","DC 4",2021-08-01,2021,0,32.0550995,17.0471001,24.5509987,9.4132996,38.9035988
"1641","DC 4",2021-09-01,2021,15.2126999,30.2228985,15.0516996,22.6371994,7.1898999,36.4713974
"1642","DC 4",2021-10-01,2022,359.1902771,19.3479996,8.2753,13.8115997,2.9375999,15.4516993
"1643","DC 4",2021-11-01,2022,57.8426971,17.0222988,6.6531997,11.8376999,1.6112,10.9013996
"1644","DC 4",2021-12-01,2022,405.857605,10.3540993,2.3573,6.3555999,1.0324998,6.5485997
"1645","DC 4",2022-01-01,2022,30.8319988,14.4428997,2.6829,8.5627995,1.9313998,11.1454
"1646","DC 4",2022-02-01,2022,4.2546997,16.4841003,2.6169,9.5504999,3.1330001,15.1166
"1647","DC 4",2022-03-01,2022,35.1602974,17.8451004,4.4698,11.1574001,1.7425003,14.2020998
"1648","DC 4",2022-04-01,2022,174.0065002,17.6236992,5.4762998,11.5499001,2.0136001,14.3996
"1649","DC 4",2022-05-01,2022,5.5500998,22.2719994,8.6455002,15.4586992,4.1584005,21.3641987
"1650","DC 4",2022-06-01,2022,23.0926991,28.0999985,13.8556995,20.9778004,6.8604007,30.7903996
"1651","DC 4",2022-07-01,2022,0,32.6310005,15.8969994,24.2638988,9.6400986,40.8526993
"1652","DC 4",2022-08-01,2022,0.6553,33.3317986,17.9582996,25.6449986,10.105401,41.8251991
"1653","DC 4",2022-09-01,2022,40.1613007,30.2087002,15.7265997,22.9675999,8.3959999,36.4925003
"1654","DC 4",2022-10-01,2023,0,26.4130993,13.1801996,19.7966003,8.3712997,27.8561001
"1655","DC 4",2022-11-01,2023,121.7427979,14.0794992,3.2869999,8.6831999,3.0279999,11.0820999
"1656","DC 4",2022-12-01,2023,468.1439819,10.6110001,2.7574,6.6841998,0.9296,5.6844001
"1657","DC 6",2000-01-01,2000,277.5910034,12.6210003,3.5000002,8.0600004,0.36,5.4330001
"1658","DC 6",2000-02-01,2000,406.1839905,13.6809998,4.7540002,9.217,0.429,6.2709999
"1659","DC 6",2000-03-01,2000,110.2450027,16.4610004,4.3700004,10.4150009,1.155,10.3409996
"1660","DC 6",2000-04-01,2000,57.3370018,21.3360004,7.4200006,14.3780003,2.2279999,16.8649998
"1661","DC 6",2000-05-01,2000,63.4799995,23.7770004,9.8870001,16.8320007,2.2539999,19.7229996
"1662","DC 6",2000-06-01,2000,14.5939999,31.052,14.0930004,22.5720005,4.8779998,33.9770012
"1663","DC 6",2000-07-01,2000,0,31.0900002,14.2300005,22.6600018,5.5180001,34.4249992
"1664","DC 6",2000-08-01,2000,0,33.0639992,15.8210011,24.4420013,7.6090002,40.2290001
"1665","DC 6",2000-09-01,2000,26.5499992,28.2709999,12.8520002,20.5610008,4.8559999,28.7999992
"1666","DC 6",2000-10-01,2001,111.7460022,22.0149994,9.1380005,15.5760012,2.609,17.8659992
"1667","DC 6",2000-11-01,2001,41.0050011,14.9110003,2.4610002,8.6860008,0.797,9.7270002
"1668","DC 6",2000-12-01,2001,55.4090004,14.4020004,3.4890001,8.9450006,0.979,9.9860001
"1669","DC 6",2001-01-01,2001,127.9710007,13.4429998,1.552,7.4970002,1.0599999,9.3109999
"1670","DC 6",2001-02-01,2001,167.2279968,12.2299995,2.5420001,7.3850002,0.815,7.4260001
"1671","DC 6",2001-03-01,2001,76.5029984,19.0879993,6.3260002,12.7060003,1.024,12.5839996
"1672","DC 6",2001-04-01,2001,75.7979965,17.507,4.8830004,11.1950006,1.03,11.8649998
"1673","DC 6",2001-05-01,2001,0.724,29.2089996,13.1000004,21.1540012,5.5089998,29.8309994
"1674","DC 6",2001-06-01,2001,6.224,29.7619991,13.9250002,21.8430004,6.0830002,32.5830002
"1675","DC 6",2001-07-01,2001,0,32.5890007,15.828001,24.2080021,6.5009999,37.1020012
"1676","DC 6",2001-08-01,2001,0,33.6689987,15.6850004,24.6760006,7.9390001,41.4249992
"1677","DC 6",2001-09-01,2001,13.3269997,30.368,14.1640005,22.2660007,5.6160002,32.0740013
"1678","DC 6",2001-10-01,2002,38.3349991,26.4990005,11.6560001,19.0770016,6.086,26.5149994
"1679","DC 6",2001-11-01,2002,178.3890076,17.9769993,7.0110002,12.493001,0.761,10.5600004
"1680","DC 6",2001-12-01,2002,309.6239929,11.2930002,3.3870001,7.3400002,0.199,4.217
"1681","DC 6",2002-01-01,2002,116.4219971,11.4060001,1.4680001,6.4370003,0.411,5.7550001
"1682","DC 6",2002-02-01,2002,103.8669968,16.4109993,3.6770003,10.0430002,0.823,10.4440002
"1683","DC 6",2002-03-01,2002,179.7519989,15.9110003,3.2370002,9.5740004,1.6670001,11.3549995
"1684","DC 6",2002-04-01,2002,29.2929993,19.5559998,7.2890005,13.4220009,1.313,13.0900002
"1685","DC 6",2002-05-01,2002,46.7809982,23.5389996,8.4250002,15.9810009,1.839,20.0459995
"1686","DC 6",2002-06-01,2002,0,30.5860004,13.7320004,22.1590004,5.487,32.4720001
"1687","DC 6",2002-07-01,2002,0,34.1310005,16.5020008,25.3160019,6.1110001,40.3800011
"1688","DC 6",2002-08-01,2002,0,32.8810005,15.1230011,24.0020008,7.9990001,39.9169998
"1689","DC 6",2002-09-01,2002,0,30.9939995,13.7700005,22.3810005,8.4899998,37.1759987
"1690","DC 6",2002-10-01,2003,0,24.3409996,9.0790005,16.710001,4.5339999,22.9839993
"1691","DC 6",2002-11-01,2003,109.4980011,19.2180004,6.5430002,12.8800011,2.5380001,14.4949999
"1692","DC 6",2002-12-01,2003,398.4320068,12.7650003,3.8090003,8.2870007,0.852,6.7600002
"1693","DC 6",2003-01-01,2003,98.6999969,16.1380005,5.2970004,10.717001,0.56,8.6499996
"1694","DC 6",2003-02-01,2003,65.8639984,14.96,2.802,8.8810005,1.045,9.3669996
"1695","DC 6",2003-03-01,2003,128.5829926,17.2819996,4.5580001,10.9190006,1.122,11.2609997
"1696","DC 6",2003-04-01,2003,182.9219971,14.6099997,4.5310001,9.5700006,0.814,8.2440004
"1697","DC 6",2003-05-01,2003,56.3919983,23.1790009,8.6940002,15.9360008,2.1010001,18.5310001
"1698","DC 6",2003-06-01,2003,0,30.3010006,13.592001,21.9460011,4.0019999,30.5499992
"1699","DC 6",2003-07-01,2003,0,35.4000015,18.0160007,26.7080021,9.309,45.8330002
"1700","DC 6",2003-08-01,2003,42.4119987,31.5370007,15.3140011,23.4250011,5.0009999,34.4319992
"1701","DC 6",2003-09-01,2003,0.26,31.9319992,14.8000011,23.3660011,7.2129998,37.3670006
"1702","DC 6",2003-10-01,2004,4.8189998,28.2110004,11.9800005,20.0950012,6.8920002,30.3659992
"1703","DC 6",2003-11-01,2004,107.8249969,14.7010002,3.6710002,9.1860008,0.943,8.8240004
"1704","DC 6",2003-12-01,2004,298.428009,12.7480001,3.8780003,8.3130007,0.53,6.5929999
"1705","DC 6",2004-01-01,2004,109.8909988,12.2349997,2.5280001,7.3810005,0.557,6.5549998
"1706","DC 6",2004-02-01,2004,211.996994,13.2489996,3.4830003,8.3650007,0.886,7.8080001
"1707","DC 6",2004-03-01,2004,41.4580002,21.8999996,7.6290002,14.7640009,2.723,18.3050003
"1708","DC 6",2004-04-01,2004,16.4500008,21.8509998,7.6920004,14.7710009,2.974,19.3470001
"1709","DC 6",2004-05-01,2004,11.4689999,24.6060009,9.1490002,16.8770008,2.6570001,22.0779991
"1710","DC 6",2004-06-01,2004,0,30.0979996,13.4610004,21.7790012,4.888,32.0159988
"1711","DC 6",2004-07-01,2004,0,33.2000008,16.5620003,24.8810005,7.3899999,39.8240013
"1712","DC 6",2004-08-01,2004,0,32.9280014,15.6090012,24.2680016,7.7529998,39.8919983
"1713","DC 6",2004-09-01,2004,6.4780002,30.3040009,13.2670002,21.7850018,7.8319998,35.9029999
"1714","DC 6",2004-10-01,2005,141.7749939,22.2989998,9.5690002,15.934001,3.6259999,19.5259991
"1715","DC 6",2004-11-01,2005,91.1279984,16.2360001,4.0840001,10.1600008,0.968,10.6639996
"1716","DC 6",2004-12-01,2005,209.1009979,14.3219995,3.0350001,8.6780005,1.335,9.7229996
"1717","DC 6",2005-01-01,2005,179.3730011,12.1230001,2.9660001,7.5440001,0.746,6.494
"1718","DC 6",2005-02-01,2005,97.1660004,15.5649996,5.3140001,10.4390001,1.133,8.8170004
"1719","DC 6",2005-03-01,2005,199.6499939,17.7490005,5.7980003,11.7730007,1.73,12.6789999
"1720","DC 6",2005-04-01,2005,58.0870018,18.3460007,5.3940001,11.8700008,1.273,12.6719999
"1721","DC 6",2005-05-01,2005,150.5209961,22.0049992,9.7480001,15.8760004,1.614,15.5839996
"1722","DC 6",2005-06-01,2005,37.0820007,25.4300003,10.7930002,18.1110001,1.972,22.0249996
"1723","DC 6",2005-07-01,2005,0,34.9430008,18.0870018,26.5150013,6.5819998,41.4210014
"1724","DC 6",2005-08-01,2005,0,34.3250008,16.8710003,25.5980015,8.948,43.8919983
"1725","DC 6",2005-09-01,2005,8.7729998,28.4570007,11.8660002,20.1610012,5.0830002,30.5009995
"1726","DC 6",2005-10-01,2006,29.927,23.5720005,10.0430002,16.8070011,3.5369999,20.4230003
"1727","DC 6",2005-11-01,2006,92.5660019,18.9969997,6.7170005,12.8570004,2.0190001,14.1639996
"1728","DC 6",2005-12-01,2006,505.401001,13.3990002,4.2190003,8.809,0.392,6.1599998
"1729","DC 6",2006-01-01,2006,209.9389954,13.6440001,4.0760002,8.8600006,0.382,7.1009998
"1730","DC 6",2006-02-01,2006,129.4519958,16.2530003,3.0590003,9.6560001,1.261,12.1230001
"1731","DC 6",2006-03-01,2006,307.0289917,11.4519997,2.3840001,6.9170003,0.474,6.5009999
"1732","DC 6",2006-04-01,2006,239.1829987,16.5939999,6.8660002,11.7300005,0.923,9.5690002
"1733","DC 6",2006-05-01,2006,31.7859993,25.4619999,10.5500002,18.0060005,2.533,22.6539993
"1734","DC 6",2006-06-01,2006,0.001,31.0049992,14.5860004,22.795002,4.8959999,33.7120018
"1735","DC 6",2006-07-01,2006,0,35.3860016,18.3510017,26.8680019,9.8769999,46.7420006
"1736","DC 6",2006-08-01,2006,0,32.2060013,14.7110004,23.4580002,7.276,38.4749985
"1737","DC 6",2006-09-01,2006,0,30.6119995,13.3830004,21.9970016,7.7800002,36.1020012
"1738","DC 6",2006-10-01,2007,6.4359999,23.4099998,8.2370005,15.8230009,3.766,21.4050007
"1739","DC 6",2006-11-01,2007,100.9550018,16.1110001,5.355,10.7330008,0.68,8.7849998
"1740","DC 6",2006-12-01,2007,169.5140076,13.3959999,2.8650002,8.1300001,1.147,8.7880001
"1741","DC 6",2007-01-01,2007,26.8810005,14.1300001,-0.01,7.0600004,1.625,11.2700005
"1742","DC 6",2007-02-01,2007,273.3059998,14.0909996,4.0350003,9.0620003,0.897,8.3179998
"1743","DC 6",2007-03-01,2007,25.0569992,20.4810009,6.1350002,13.3080006,1.9,16.0349998
"1744","DC 6",2007-04-01,2007,73.3259964,20.6229992,6.2750001,13.4480009,1.806,15.9460001
"1745","DC 6",2007-05-01,2007,33.9109993,25.8619995,9.9350004,17.8980007,3.5280001,24.9629993
"1746","DC 6",2007-06-01,2007,1.229,29.6720009,12.651001,21.1610012,4.638,33.0369987
"1747","DC 6",2007-07-01,2007,0.31,33.2420006,16.0270004,24.6340008,6.9419999,40.4410019
"1748","DC 6",2007-08-01,2007,0,33.4379997,15.5970011,24.5170021,8.5299997,42.4000015
"1749","DC 6",2007-09-01,2007,18.8390007,27.4200001,12.1000004,19.7600002,4.744,28.2630005
"1750","DC 6",2007-10-01,2008,78.3040009,21.2849998,8.5670004,14.9260006,2.076,16.3220005
